2022-05-16 19:57:43 |INFO  |main |SpringApplication.java:655 |com.atguigu.guli.service.vod.ServiceVodApplication |The following profiles are active: dev
2022-05-16 19:57:44 |INFO  |main |GenericScope.java:295 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=d6257e9d-43af-3dfa-9630-ff6179f5561f
2022-05-16 19:57:44 |INFO  |main |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-16 19:57:44 |INFO  |main |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'spring.cloud.sentinel-com.alibaba.cloud.sentinel.SentinelProperties' of type [com.alibaba.cloud.sentinel.SentinelProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-16 19:57:44 |INFO  |main |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'com.alibaba.cloud.sentinel.custom.SentinelAutoConfiguration' of type [com.alibaba.cloud.sentinel.custom.SentinelAutoConfiguration$$EnhancerBySpringCGLIB$$5bece1ce] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-16 19:57:45 |INFO  |main |TomcatWebServer.java:92 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8130 (http)
2022-05-16 19:57:45 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8130"]
2022-05-16 19:57:45 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2022-05-16 19:57:45 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.27]
2022-05-16 19:57:45 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2022-05-16 19:57:45 |INFO  |main |ServletWebServerApplicationContext.java:284 |org.springframework.web.context.ContextLoader |Root WebApplicationContext: initialization completed in 2218 ms
2022-05-16 19:57:45 |INFO  |main |SentinelWebAutoConfiguration.java:96 |com.alibaba.cloud.sentinel.SentinelWebAutoConfiguration |[Sentinel Starter] register Sentinel CommonFilter with urlPatterns: [/*].
2022-05-16 19:57:45 |INFO  |main |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-05-16 19:57:45 |INFO  |main |URLConfigurationSource.java:122 |com.netflix.config.sources.URLConfigurationSource |To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2022-05-16 19:57:45 |INFO  |main |URLConfigurationSource.java:122 |com.netflix.config.sources.URLConfigurationSource |To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2022-05-16 19:57:46 |INFO  |main |ExecutorConfigurationSupport.java:171 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2022-05-16 19:57:46 |INFO  |main |ExecutorConfigurationSupport.java:171 |org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler |Initializing ExecutorService
2022-05-16 19:57:46 |INFO  |main |DocumentationPluginsBootstrapper.java:147 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2022-05-16 19:57:46 |INFO  |main |DocumentationPluginsBootstrapper.java:150 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 2 custom documentation plugin(s)
2022-05-16 19:57:46 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2022-05-16 19:57:46 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2022-05-16 19:57:46 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8130"]
2022-05-16 19:57:46 |INFO  |main |TomcatWebServer.java:204 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8130 (http) with context path ''
2022-05-16 19:57:47 |INFO  |main |NacosServiceRegistry.java:62 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |nacos registry, service-vod 192.168.31.205:8130 register finished
2022-05-16 19:57:47 |INFO  |main |StartupInfoLogger.java:61 |com.atguigu.guli.service.vod.ServiceVodApplication |Started ServiceVodApplication in 5.169 seconds (JVM running for 5.854)
2022-05-16 19:58:18 |INFO  |http-nio-8130-exec-1 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-16 19:58:18 |INFO  |http-nio-8130-exec-1 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2022-05-16 19:58:18 |INFO  |http-nio-8130-exec-1 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 25 ms
2022-05-16 20:06:35 |INFO  |http-nio-8130-exec-6 |RetryExec.java:96 |org.apache.http.impl.execchain.RetryExec |I/O exception (java.net.SocketException) caught when processing request to {}->http://vod.cn-shanghai.aliyuncs.com:80: Can't connect to SOCKS proxy:Connection refused (Connection refused)
2022-05-16 20:06:35 |INFO  |http-nio-8130-exec-6 |RetryExec.java:112 |org.apache.http.impl.execchain.RetryExec |Retrying request to {}->http://vod.cn-shanghai.aliyuncs.com:80
2022-05-16 20:06:35 |INFO  |http-nio-8130-exec-6 |RetryExec.java:96 |org.apache.http.impl.execchain.RetryExec |I/O exception (java.net.SocketException) caught when processing request to {}->http://vod.cn-shanghai.aliyuncs.com:80: Can't connect to SOCKS proxy:Connection refused (Connection refused)
2022-05-16 20:06:35 |INFO  |http-nio-8130-exec-6 |RetryExec.java:112 |org.apache.http.impl.execchain.RetryExec |Retrying request to {}->http://vod.cn-shanghai.aliyuncs.com:80
2022-05-16 20:06:35 |INFO  |http-nio-8130-exec-6 |RetryExec.java:96 |org.apache.http.impl.execchain.RetryExec |I/O exception (java.net.SocketException) caught when processing request to {}->http://vod.cn-shanghai.aliyuncs.com:80: Can't connect to SOCKS proxy:Connection refused (Connection refused)
2022-05-16 20:06:35 |INFO  |http-nio-8130-exec-6 |RetryExec.java:112 |org.apache.http.impl.execchain.RetryExec |Retrying request to {}->http://vod.cn-shanghai.aliyuncs.com:80
2022-05-16 20:07:07 |INFO  |http-nio-8130-exec-1 |RetryExec.java:96 |org.apache.http.impl.execchain.RetryExec |I/O exception (java.net.SocketException) caught when processing request to {}->http://vod.cn-shanghai.aliyuncs.com:80: Can't connect to SOCKS proxy:Connection refused (Connection refused)
2022-05-16 20:07:07 |INFO  |http-nio-8130-exec-1 |RetryExec.java:112 |org.apache.http.impl.execchain.RetryExec |Retrying request to {}->http://vod.cn-shanghai.aliyuncs.com:80
2022-05-16 20:07:07 |INFO  |http-nio-8130-exec-1 |RetryExec.java:96 |org.apache.http.impl.execchain.RetryExec |I/O exception (java.net.SocketException) caught when processing request to {}->http://vod.cn-shanghai.aliyuncs.com:80: Can't connect to SOCKS proxy:Connection refused (Connection refused)
2022-05-16 20:07:07 |INFO  |http-nio-8130-exec-1 |RetryExec.java:112 |org.apache.http.impl.execchain.RetryExec |Retrying request to {}->http://vod.cn-shanghai.aliyuncs.com:80
2022-05-16 20:07:07 |INFO  |http-nio-8130-exec-1 |RetryExec.java:96 |org.apache.http.impl.execchain.RetryExec |I/O exception (java.net.SocketException) caught when processing request to {}->http://vod.cn-shanghai.aliyuncs.com:80: Can't connect to SOCKS proxy:Connection refused (Connection refused)
2022-05-16 20:07:07 |INFO  |http-nio-8130-exec-1 |RetryExec.java:112 |org.apache.http.impl.execchain.RetryExec |Retrying request to {}->http://vod.cn-shanghai.aliyuncs.com:80
2022-05-16 20:07:29 |INFO  |http-nio-8130-exec-4 |RetryExec.java:96 |org.apache.http.impl.execchain.RetryExec |I/O exception (java.net.SocketException) caught when processing request to {}->http://vod.cn-shanghai.aliyuncs.com:80: Can't connect to SOCKS proxy:Connection refused (Connection refused)
2022-05-16 20:07:29 |INFO  |http-nio-8130-exec-4 |RetryExec.java:112 |org.apache.http.impl.execchain.RetryExec |Retrying request to {}->http://vod.cn-shanghai.aliyuncs.com:80
2022-05-16 20:07:29 |INFO  |http-nio-8130-exec-4 |RetryExec.java:96 |org.apache.http.impl.execchain.RetryExec |I/O exception (java.net.SocketException) caught when processing request to {}->http://vod.cn-shanghai.aliyuncs.com:80: Can't connect to SOCKS proxy:Connection refused (Connection refused)
2022-05-16 20:07:29 |INFO  |http-nio-8130-exec-4 |RetryExec.java:112 |org.apache.http.impl.execchain.RetryExec |Retrying request to {}->http://vod.cn-shanghai.aliyuncs.com:80
2022-05-16 20:07:29 |INFO  |http-nio-8130-exec-4 |RetryExec.java:96 |org.apache.http.impl.execchain.RetryExec |I/O exception (java.net.SocketException) caught when processing request to {}->http://vod.cn-shanghai.aliyuncs.com:80: Can't connect to SOCKS proxy:Connection refused (Connection refused)
2022-05-16 20:07:29 |INFO  |http-nio-8130-exec-4 |RetryExec.java:112 |org.apache.http.impl.execchain.RetryExec |Retrying request to {}->http://vod.cn-shanghai.aliyuncs.com:80
2022-05-16 20:18:33 |INFO  |SpringContextShutdownHook |NacosServiceRegistry.java:74 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registering from Nacos Server now...
2022-05-16 20:18:34 |INFO  |SpringContextShutdownHook |NacosServiceRegistry.java:93 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registration finished.
2022-05-16 20:18:34 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:208 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2022-05-16 20:18:44 |INFO  |main |SpringApplication.java:655 |com.atguigu.guli.service.vod.ServiceVodApplication |The following profiles are active: dev
2022-05-16 20:18:45 |INFO  |main |GenericScope.java:295 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=d6257e9d-43af-3dfa-9630-ff6179f5561f
2022-05-16 20:18:45 |INFO  |main |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
