2022-05-23 16:07:49 |INFO  |http-nio-8150-exec-10 |EpollProvider.java:68 |io.lettuce.core.EpollProvider |Starting without optional epoll library
2022-05-23 16:07:49 |INFO  |http-nio-8150-exec-10 |KqueueProvider.java:70 |io.lettuce.core.KqueueProvider |Starting without optional kqueue library
2022-05-23 16:13:35 |INFO  |SpringContextShutdownHook |NacosServiceRegistry.java:74 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registering from Nacos Server now...
2022-05-23 16:13:35 |INFO  |SpringContextShutdownHook |NacosServiceRegistry.java:93 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registration finished.
2022-05-23 16:13:35 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:208 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2022-05-23 16:13:42 |INFO  |main |SpringApplication.java:655 |com.atguigu.guli.service.sms.ServiceSmsApplication |The following profiles are active: dev
2022-05-23 16:13:43 |INFO  |main |RepositoryConfigurationDelegate.java:246 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Multiple Spring Data modules found, entering strict repository configuration mode!
2022-05-23 16:13:43 |INFO  |main |RepositoryConfigurationDelegate.java:126 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Bootstrapping Spring Data repositories in DEFAULT mode.
2022-05-23 16:13:43 |INFO  |main |RepositoryConfigurationDelegate.java:184 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Finished Spring Data repository scanning in 23ms. Found 0 repository interfaces.
2022-05-23 16:13:43 |INFO  |main |GenericScope.java:295 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=1fac50bd-8d08-33dd-bbf4-7fd5767c29f1
2022-05-23 16:13:43 |INFO  |main |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-23 16:13:43 |INFO  |main |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'spring.cloud.sentinel-com.alibaba.cloud.sentinel.SentinelProperties' of type [com.alibaba.cloud.sentinel.SentinelProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
